Dp,Commune,Habitants,densite
02,Origny-en-Thiérache,1557,94
02,Origny-Ste-Benoite,1822,78
02,Osly-Courtil,260,50
02,Ostel,96,11
02,Oulches-la-Vallée-Foulon,49,11
02,Oulchy-la-Ville,116,16
02,Oulchy-le-Château,856,57
02,Paars,180,35
02,Paissy,66,9
02,Pancy-Courtecon,56,9
02,Papleux,91,47
02,Parcy-et-Tigny,241,23
02,Parfondeval,177,16
02,Parfondru,303,33
02,Pargnan,35,15
02,Pargny-Filain,195,39
02,Pargny-la-Dhuys,156,12
02,Pargny-les-Bois,153,22
02,Parpeville,216,14
02,Pasly,1119,371
